reply_num	reply_ts	reply_user	talk_id	talk_user
1	1563280971.036200	UJRAL005U	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
2	1563282506.045000	UKU6PP3J5	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
3	1563282706.048300	UJRAL005U	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
4	1563282745.049600	UJRAL005U	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
5	1563285183.051900	UKU6PP3J5	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
6	1563318890.059100	UJRAL005U	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
7	1563324066.063600	UKY4VFB5E	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
8	1563324068.063900	UKY4VFB5E	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
9	1563324102.064600	UKY4VFB5E	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
10	1563324151.065400	UKU6PP3J5	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
11	1563324183.065900	UKY4VFB5E	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
12	1563354846.068800	UJRAL005U	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
0	1563170308.000600	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
1	1563171865.001000	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
2	1563172277.001500	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
3	1563172300.001700	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
4	1563172344.002800	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
5	1563175418.003000	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
6	1563178350.004100	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
7	1563183757.004300	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
8	1563190156.004900	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
9	1563198286.011400	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
10	1563198338.012200	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
11	1563238896.013000	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
12	1563280175.019500	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
13	1563280289.021700	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
14	1563280460.024000	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
15	1563280496.024200	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
16	1563280497.024500	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
17	1563280580.026000	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
18	1563280686.029600	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
19	1563280854.035100	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
20	1563281049.038400	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
21	1563281134.040400	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
22	1563281156.041200	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
23	1563281324.043300	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
24	1563284553.051700	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
25	1563287011.057300	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
26	1563322775.062300	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
27	1563354820.068300	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
28	1563360658.075700	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
29	1563360694.075900	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
30	1563360699.076200	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
31	1563360726.076400	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
32	1563360743.076700	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
33	1563360897.077400	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
34	1563360954.077600	UJRAL005U	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
35	1563628494.003600	UKT5BQD3P	99d0b9e6-bb48-4cc7-86c2-4a44dc23f42b	UKT5BQD3P
0	1562933312.052500	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
1	1562933368.054100	UL2TY2ERL	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
2	1562933636.058000	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
3	1562933695.059300	UL2TY2ERL	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
4	1562933761.061200	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
5	1562935496.063600	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
6	1562935519.064500	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
7	1562935892.065600	UL2TY2ERL	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
8	1562936064.067700	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
9	1562936203.070600	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
10	1562995849.000100	UL2TY2ERL	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
11	1562995886.000600	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
12	1562995957.002000	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
13	1562996026.002200	UL2TY2ERL	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
14	1563005798.004800	UJRAL005U	58d97641-8b46-4f08-b51f-608b45c8565a	UL2TY2ERL
0	1562834667.017900	UJRAL005U	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
1	1562852786.028400	UL08YKGLU	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
2	1562897509.034300	UJRAL005U	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
3	1562901429.034600	UKPAM2942	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
4	1562904125.037500	UJRAL005U	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
5	1562904701.037700	UKPAM2942	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
6	1562905380.040200	UL08YKGLU	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
7	1562906170.045300	UJRAL005U	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
8	1562906373.045600	UKPAM2942	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
9	1562906496.049300	UJRAL005U	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
10	1562906498.049500	UL08YKGLU	1341d5ee-ef29-4fe7-bfa0-89949ef9e604	UL08YKGLU
0	1562419476.011700	UJRAL005U	0b90e573-eed7-4fad-ad31-b8f1044c1393	UL70KNF4P
